"시도별(1)","규모별(1)","시점",공장수 (개사)
"광주광역시","대기업","2008.2/2",
"광주광역시","대기업","2009.1/2",4
"광주광역시","대기업","2009.2/2",2
"광주광역시","대기업","2010.1/2",-1
"광주광역시","대기업","2010.2/2",-2
"광주광역시","대기업","2011.1/2",0
"광주광역시","대기업","2011.2/2",-1
"광주광역시","대기업","2012.1/2",-4
"광주광역시","대기업","2012.2/2",-7
"광주광역시","대기업","2013.1/2",-1
"광주광역시","대기업","2013.2/2",0
"광주광역시","대기업","2014.1/2",-1
"광주광역시","대기업","2014.2/2",1
"광주광역시","대기업","2015.1/2",1
"광주광역시","대기업","2015.2/2",1
"광주광역시","대기업","2016.1/2",1
"광주광역시","대기업","2016.2/2",-1
"광주광역시","대기업","2017.1/2",0
"광주광역시","중기업","2006.1/2",
"광주광역시","중기업","2006.2/2",30
"광주광역시","중기업","2007.1/2",6
"광주광역시","중기업","2007.2/2",4
"광주광역시","중기업","2008.2/2",
"광주광역시","중기업","2009.1/2",2
"광주광역시","중기업","2009.2/2",3
"광주광역시","중기업","2010.1/2",18
"광주광역시","중기업","2010.2/2",19
"광주광역시","중기업","2011.1/2",0
"광주광역시","중기업","2011.2/2",2
"광주광역시","중기업","2012.1/2",2
"광주광역시","중기업","2012.2/2",6
"광주광역시","중기업","2013.1/2",-5
"광주광역시","중기업","2013.2/2",6
"광주광역시","중기업","2014.1/2",7
"광주광역시","중기업","2014.2/2",5
"광주광역시","중기업","2015.1/2",-2
"광주광역시","중기업","2015.2/2",8
"광주광역시","중기업","2016.1/2",1
"광주광역시","중기업","2016.2/2",7
"광주광역시","중기업","2017.1/2",-202
"광주광역시","소기업","2006.1/2",
"광주광역시","소기업","2006.2/2",285
"광주광역시","소기업","2007.1/2",115
"광주광역시","소기업","2007.2/2",64
"광주광역시","소기업","2008.2/2",
"광주광역시","소기업","2009.1/2",108
"광주광역시","소기업","2009.2/2",107
"광주광역시","소기업","2010.1/2",137
"광주광역시","소기업","2010.2/2",134
"광주광역시","소기업","2011.1/2",0
"광주광역시","소기업","2011.2/2",68
"광주광역시","소기업","2012.1/2",110
"광주광역시","소기업","2012.2/2",102
"광주광역시","소기업","2013.1/2",8
"광주광역시","소기업","2013.2/2",132
"광주광역시","소기업","2014.1/2",22
"광주광역시","소기업","2014.2/2",167
"광주광역시","소기업","2015.1/2",111
"광주광역시","소기업","2015.2/2",242
"광주광역시","소기업","2016.1/2",1
"광주광역시","소기업","2016.2/2",85
"광주광역시","소기업","2017.1/2",114
"대전광역시","대기업","2006.1/2",
"대전광역시","대기업","2006.2/2",0
"대전광역시","대기업","2007.1/2",2
"대전광역시","대기업","2007.2/2",1
"대전광역시","대기업","2008.2/2",
"대전광역시","대기업","2009.1/2",6
"대전광역시","대기업","2009.2/2",-1
"대전광역시","대기업","2010.1/2",3
"대전광역시","대기업","2010.2/2",-2
"대전광역시","대기업","2011.1/2",0
"대전광역시","대기업","2011.2/2",0
"대전광역시","대기업","2012.1/2",0
"대전광역시","대기업","2012.2/2",-7
"대전광역시","대기업","2013.1/2",1
"대전광역시","대기업","2013.2/2",0
"대전광역시","대기업","2014.1/2",-3
"대전광역시","대기업","2014.2/2",-1
"대전광역시","대기업","2015.1/2",1
"대전광역시","대기업","2015.2/2",0
