city,year,month,pop_sum,pop_0_9,pop_10_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80_89,pop_90_99,pop_100_
충청북도,2008,09,1516960,159620,211711,211993,240158,256870,183077,130890,91243,27874,3440,84
충청남도,2008,09,2012612,214018,261902,273453,317286,324276,241596,186415,144292,43976,5264,134
전라북도,2008,09,1854997,188771,258116,246290,274918,296667,230696,182941,129490,42011,4927,170
전라남도,2008,09,1921215,188359,252422,234829,262971,303350,240337,219968,161877,50843,6035,224
경상북도,2008,09,2674221,257576,340129,358175,404429,442794,349700,263050,189438,61566,7203,161
경상남도,2008,09,3214815,348532,454225,432842,535483,561925,390998,257656,174503,53618,4913,120
제주특별자치도,2008,09,560472,67228,81821,73624,92688,94448,62818,46633,29699,9539,1914,60
전국,2008,10,49495874,5121872,6829817,7244558,8491027,8660022,6085116,3950265,2311062,716384,83426,2325
서울특별시,2008,10,10200440,934728,1277189,1709881,1892292,1722002,1333369,822625,376654,116781,14510,409
부산광역시,2008,10,3568314,297640,468151,550295,551471,627865,538375,325975,159068,45079,4273,122
대구광역시,2008,10,2493479,245201,368891,364866,409903,456560,319090,191410,104997,29438,3041,82
인천광역시,2008,10,2689737,283472,396145,402446,470361,511180,316349,177707,97333,31102,3556,86
광주광역시,2008,10,1421879,166629,228771,217241,244018,240702,154516,98330,52665,16828,2112,67
대전광역시,2008,10,1480444,166201,223048,227490,260681,260487,173087,96780,53499,17119,2000,52
울산광역시,2008,10,1110740,124529,177446,160469,193674,217505,133717,62399,30265,9664,1055,17
경기도,2008,10,11261364,1333523,1631316,1585371,2121335,2080162,1212952,734414,418617,128305,14964,405
강원도,2008,10,1507620,149287,198536,196707,226256,258989,196056,151350,94886,31365,4070,118
충청북도,2008,10,1518621,159308,211930,211934,239489,257501,184256,131095,91536,28045,3441,86
충청남도,2008,10,2014066,213601,262044,273283,316407,325117,242752,186534,144666,44249,5277,136
전라북도,2008,10,1855363,188197,258093,246029,274009,297120,231651,183080,129779,42275,4959,171
전라남도,2008,10,1920578,187644,252391,234150,262148,303445,241217,220112,162215,50977,6053,226
경상북도,2008,10,2674448,256899,339646,357738,402958,443279,351456,263192,190085,61780,7251,164
경상남도,2008,10,3218292,347979,454371,433132,533712,563577,393211,258477,174930,53842,4939,122
제주특별자치도,2008,10,560489,67034,81849,73526,92313,94531,63062,46785,29867,9535,1925,62
전국,2008,11,49516085,5107430,6825466,7235715,8485711,8663015,6113385,3957774,2320686,720869,83698,2336
서울특별시,2008,11,10199174,931772,1274764,1706018,1891442,1720950,1338064,824975,378569,117630,14583,407
부산광역시,2008,11,3566639,296644,466732,548907,550937,626910,540093,326800,159836,45383,4276,121
대구광역시,2008,11,2494041,244402,368318,364580,409361,456867,320298,192035,105418,29632,3043,87
인천광역시,2008,11,2690513,282711,395710,402227,469860,511122,318095,178064,97740,31338,3558,88
광주광역시,2008,11,1422584,166102,228756,216837,243786,241210,155221,98660,52924,16901,2121,66
대전광역시,2008,11,1480967,165613,223080,227004,260510,260811,173813,97124,53735,17210,2014,53
울산광역시,2008,11,1111492,124149,177352,160415,193374,217685,134602,62689,30396,9755,1059,16
경기도,2008,11,11276397,1331062,1632395,1585892,2121174,2083015,1221161,736243,420821,129180,15048,406
강원도,2008,11,1508263,148781,198603,196634,225986,258690,197222,151213,95310,31594,4109,121
충청북도,2008,11,1519266,158871,211919,211553,239300,257673,185165,131163,91903,28193,3439,87
충청남도,2008,11,2015419,213105,262389,272823,316485,325329,243611,186700,145012,44552,5283,130
전라북도,2008,11,1855383,187479,257875,245782,273499,297337,232567,182997,130254,42426,4998,169
전라남도,2008,11,1919857,186716,252263,233735,261541,303406,242082,220057,162595,51189,6048,225
경상북도,2008,11,2674311,256007,339211,357055,402407,443434,352549,263559,190556,62106,7257,170
경상남도,2008,11,3221162,347245,454165,432831,533969,563929,395513,258650,175601,54198,4935,126
제주특별자치도,2008,11,560617,66771,81934,73422,92080,94647,63329,46845,30016,9582,1927,64
전국,2008,12,49540367,5096863,6824922,7225638,8470294,8671848,6140573,3964796,2333042,726164,83892,2335
서울특별시,2008,12,10200827,930515,1273921,1701253,1888662,1721870,1341904,827725,381508,118466,14592,411
부산광역시,2008,12,3564577,295585,465555,547510,549690,626029,541589,327651,160737,45839,4275,117
대구광역시,2008,12,2492724,243689,367756,363215,407995,456905,321346,192853,105937,29895,3047,86
인천광역시,2008,12,2692696,282010,395667,402627,468951,511496,320145,178327,98187,31632,3562,92
광주광역시,2008,12,1422702,165726,228874,215825,243262,241756,155911,98980,53158,17013,2131,66
대전광역시,2008,12,1480895,165185,223036,226246,259751,261080,174724,97456,54040,17290,2036,51
울산광역시,2008,12,1112407,123828,177287,160327,192904,218035,135463,63038,30589,9861,1059,16
경기도,2008,12,11292264,1329090,1634134,1587704,2118019,2087212,1229523,737590,423231,130225,15131,405
강원도,2008,12,1508575,148237,198539,196588,225353,258752,198190,151034,95832,31807,4123,120
