city,year,inc_rate
서울특별시,2009,0.000732783724300079
서울특별시,2010,0.010211590527004377
서울특별시,2011,-0.006096070368662665
서울특별시,2012,-0.005303678290803027
서울특별시,2013,-0.00506830684437698
서울특별시,2014,-0.003983972230889421
서울특별시,2015,-0.008022382538341977
서울특별시,2016,-0.009136234917329844
서울특별시,2017,-0.007370136958271267
서울특별시,2018,-0.00931308031122935
서울특별시,2019,-0.0037392391657962154
서울특별시,2020,-0.006233048932445695
서울특별시,2021,-0.01644594048796788
서울특별시,2022,-0.008526879239594942
서울특별시,2023,-0.004490488920038338
세종특별자치시,2012,
세종특별자치시,2013,0.07988189220011144
세종특별자치시,2014,0.2781102387988834
세종특별자치시,2015,0.35073819055244204
세종특별자치시,2016,0.1525198687430056
세종특별자치시,2017,0.15244725321747143
세종특별자치시,2018,0.12147804355587288
세종특별자치시,2019,0.08419869733801089
세종특별자치시,2020,0.04479483226895686
세종특별자치시,2021,0.04514502671211895
세종특별자치시,2022,0.031449737156993285
세종특별자치시,2023,0.007648771738648641
울산광역시,2008,
울산광역시,2009,0.002210521868345028
울산광역시,2010,0.010254147135171365
울산광역시,2011,0.008164801855281567
울산광역시,2012,0.010358487143040884
울산광역시,2013,0.0080400538327976
울산광역시,2014,0.008557865246264562
울산광역시,2015,0.00613609493328493
울산광역시,2016,-0.0010481162028539437
울산광역시,2017,-0.006117867037901403
울산광역시,2018,-0.008161307045038702
울산광역시,2019,-0.0065800005711205145
울산광역시,2020,-0.010454530804803741
울산광역시,2021,-0.012697873359289513
울산광역시,2022,-0.009744185051248633
울산광역시,2023,-0.00630434254134693
인천광역시,2008,
인천광역시,2009,0.0066412992777498125
인천광역시,2010,0.017603987930254084
인천광역시,2011,0.015581358925945477
인천광역시,2012,0.015245563268712736
인천광역시,2013,0.012588340076814752
인천광역시,2014,0.007926294420897095
인천광역시,2015,0.007995223605805624
인천광역시,2016,0.005897160278418134
인천광역시,2017,0.0018596234067227435
인천광역시,2018,0.0020688190977100618
인천광역시,2019,0.000806865941795909
인천광역시,2020,-0.004801445776939417
인천광역시,2021,0.0018849215788350193
인천광역시,2022,0.006423538389791039
인천광역시,2023,0.01014250598352584
전국,2008,
전국,2009,0.0046987540483904855
전국,2010,0.01491810493389556
전국,2011,0.004327726768959206
전국,2012,0.004217818467685541
전국,2013,0.0037919048559684754
전국,2014,0.003645828434747811
전국,2015,0.003924219327353873
전국,2016,0.0032385046359415526
전국,2017,0.00159253435493234
전국,2018,0.000917658094055307
전국,2019,0.0004592670262657528
전국,2020,-0.0004018911448961937
전국,2021,-0.0036700286632839196
전국,2022,-0.0038686213696369487
전국,2023,-0.0022105584478465667
전라남도,2008,
전라남도,2009,-0.003124544033350718
전라남도,2010,0.0028651273076272243
전라남도,2011,-0.0021610802273669405
전라남도,2012,-0.0024661253832263252
전라남도,2013,-0.0012808844491410953
전라남도,2014,-0.0007298764872806229
전라남도,2015,0.0016874980323018374
전라남도,2016,-0.002662132346008095
전라남도,2017,-0.003934001220643357
전라남도,2018,-0.007094405048659991
전라남도,2019,-0.007554554772513655
전라남도,2020,-0.009201897530160652
전라남도,2021,-0.0101244957600366
전라남도,2022,-0.008242020555400686
전라남도,2023,-0.007415977470392465
전라북도,2008,
전라북도,2009,-0.0006811181546009237
전라북도,2010,0.007794520163838525
전라북도,2011,0.002711664168846495
전라북도,2012,-0.0003681902807370907
전라북도,2013,-0.0002007109223574055
전라북도,2014,-0.0007501474934128449
전라북도,2015,-0.0009879458847165123
전라북도,2016,-0.0026314227172006266
전라북도,2017,-0.005461201818327099
전라북도,2018,-0.009584240758284679
전라북도,2019,-0.009753205519067665
전라북도,2020,-0.008143857031409296
전라북도,2021,-0.009560978746236404
전라북도,2022,-0.009652713846394878
전라북도,2023,-0.00839169374895099
제주특별자치도,2008,
제주특별자치도,2009,0.0036477601504054658
제주특별자치도,2010,0.015270241689963715
제주특별자치도,2011,0.008579355979378755
제주특별자치도,2012,0.013116239351842252
제주특별자치도,2013,0.01729103172278168
제주특별자치도,2014,0.02280205993203177
제주특별자치도,2015,0.028071313551089494
제주특별자치도,2016,0.027549868272487732
제주특별자치도,2017,0.024136646524220096
제주특별자치도,2018,0.01538314033386956
제주특별자치도,2019,0.005692522830793578
제주특별자치도,2020,0.005433770151224593
제주특별자치도,2021,0.003148369118115779
제주특별자치도,2022,0.0020686832387895038
제주특별자치도,2023,-0.004286605353611805
충청남도,2008,
충청남도,2009,0.009435051227696167
충청남도,2010,0.018616183299617006
충청남도,2011,0.012416201480693445
충청남도,2012,-0.034506044875419084
충청남도,2013,0.009293283589078438
