시도별,경제활동별,항목,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
충청북도,　　섬유 의복 및 가죽 제품 제조업,명목,269852,306498,340089,348526,366507,351560,395134,384677,386185,353222,330649,336796,328377,357651,318590,304784
충청북도,　　섬유 의복 및 가죽 제품 제조업,실질,297725,288433,278979,375185,367842,361632,404356,395692,386185,301854,308751,310087,280956,299950,291988,266294
충청북도,　　섬유 의복 및 가죽 제품 제조업,실질기여도,-0.26,-0.03,-0.03,0.33,-0.02,-0.01,0.09,-0.02,-0.02,-0.15,0.01,0,-0.05,0.03,-0.01,-0.04
충청북도,　　목재종이인쇄 및 복제업,명목,474479,467941,517210,579938,690294,806250,745532,790701,843568,926239,813317,892138,890503,864954,862407,907791
충청북도,　　목재종이인쇄 및 복제업,실질,631423,606579,697861,703605,820684,891033,785383,838997,843568,892337,798140,803436,790346,786233,757638,760308
충청북도,　　목재종이인쇄 및 복제업,실질기여도,0.05,-0.06,0.21,0.01,0.24,0.14,-0.21,0.11,0.01,0.09,-0.16,0.01,-0.02,-0.01,-0.05,0
충청북도,　　석탄 및 석유 화학제품 제조업,명목,2511536,2503927,2311554,3276066,3408770,3449654,3832226,4006044,4915446,5597731,5371526,5672220,6032300,6916837,8020808,7491075
충청북도,　　석탄 및 석유 화학제품 제조업,실질,3147289,3000888,3230296,3614753,3619495,3638987,4057797,4225741,4915446,5433972,5300066,5773370,6018429,6685969,7427538,7139572
충청북도,　　석탄 및 석유 화학제품 제조업,실질기여도,0.6,-0.36,0.57,0.77,0.01,0.04,0.87,0.33,1.31,0.94,-0.23,0.73,0.35,0.96,1.1,-0.41
충청북도,　　비금속광물 및 금속제품 제조업,명목,1758359,1951793,1832906,2309922,2451592,2603901,2755063,2936711,3362546,3611103,3851537,3768403,3631529,3490775,3864341,4481734
충청북도,　　비금속광물 및 금속제품 제조업,실질,2244250,2146172,2168212,2327139,2440076,2590088,2742498,2903806,3362546,3571484,3901302,3802167,3590351,3419075,3377124,3457609
충청북도,　　비금속광물 및 금속제품 제조업,실질기여도,0.36,-0.23,0.06,0.38,0.28,0.35,0.34,0.34,0.93,0.38,0.56,-0.15,-0.3,-0.25,-0.06,0.12
충청북도,　　전기 전자 및 정밀기기 제조업,명목,4349044,4280732,4765023,5720834,6584641,7017261,7246291,7638490,8788830,9202598,12782326,14763867,13503483,12573147,14459836,15019860
충청북도,　　전기 전자 및 정밀기기 제조업,실질,4439197,4033655,4588768,5652313,6599281,6945205,7097203,7786443,8788830,9324930,11464999,13570727,14359878,13355457,15585764,16573553
충청북도,　　전기 전자 및 정밀기기 제조업,실질기여도,2.54,-1.21,1.74,3.1,2.38,0.8,0.34,1.47,1.96,0.97,3.54,3.59,1.23,-1.36,3.02,1.22
충청북도,　　기계 운송장비 및 기타 제품 제조업,명목,1122070,1050159,1331851,1790015,1962529,1832891,2126027,2369584,2434151,2684144,2831146,3017371,3118908,2993768,3335545,3745432
충청북도,　　기계 운송장비 및 기타 제품 제조업,실질,1589194,1320695,1515241,2031934,2216532,2030874,2288762,2518592,2434151,2553945,2779096,2964956,2911269,2742594,3500804,3887123
충청북도,　　기계 운송장비 및 기타 제품 제조업,실질기여도,0.3,-0.58,0.46,1.28,0.4,-0.38,0.51,0.45,-0.16,0.22,0.4,0.29,-0.08,-0.26,1.19,0.49
충청북도,"전기, 가스, 증기 및 공기 조절 공급업",명목,242547,76313,134392,142959,113089,109916,169808,239138,335156,400971,380173,339082,347755,592089,530987,537220
충청북도,"전기, 가스, 증기 및 공기 조절 공급업",실질,321625,172160,228756,219220,194090,178949,224099,266398,335156,391658,458089,449567,459070,749203,759148,870460
충청북도,"전기, 가스, 증기 및 공기 조절 공급업",실질기여도,0.05,-0.34,0.07,-0.02,-0.04,-0.02,0.06,0.07,0.12,0.1,0.11,-0.01,0.01,0.32,0.01,0.1
충청북도,건설업,명목,2315911,2050959,2203160,2372484,2300878,2355552,2479188,2524545,2791510,3346602,3817247,4619155,4214305,3781653,3812911,4666400
충청북도,건설업,실질,3050210,2653174,2811597,2981961,2748529,2696530,2715223,2666022,2791510,3265582,3574102,4118895,3579025,3142334,3064922,3619359
충청북도,건설업,실질기여도,0.15,-0.92,0.36,0.37,-0.46,-0.1,0.04,-0.09,0.24,0.86,0.53,0.89,-0.87,-0.74,-0.13,0.92
충청북도,서비스업,명목,14132909,15215208,15986646,17149019,18444936,19503060,20344661,21445049,22560687,23888700,24952286,25871353,27046372,27438799,29106347,30870174
충청북도,서비스업,실질,16844616,17401217,17820892,18692029,19846079,20643341,21291848,22029158,22560687,23391820,23880182,24393966,25195723,25214568,26392855,27393304
