city,year,population_growth,total_gdp_growth,primary_industry_growth,secondary_industry_growth,tertiary_industry_growth
인천광역시,2022,0.006423538389791,0.059636716153802,-0.168863361979669,0.0342330796563483,0.0815595668251165
광주광역시,2009,0.0076881876879346,-0.0219709069120641,0.0713478784971821,-0.0776752580418236,0.0158019638109785
광주광역시,2010,0.0146452386931168,0.1205721005210773,-0.0792381917362772,0.4060592129779579,0.0415659908815637
광주광역시,2011,0.0060688722127046,0.0181876378524787,-0.0478877564730043,-0.0058028512029493,0.0326166148270936
광주광역시,2012,0.0039304007478147,0.0205855276898425,-0.0398540499133169,-0.0259700739632755,0.0330333940565821
광주광역시,2013,0.0025142661119943,0.0382052791420055,-0.0068445694849776,0.034372718143224,0.0368369890833037
광주광역시,2014,0.0020191321940918,0.0398724443564602,0.0921294632475742,0.0435500185461033,0.0402390115152404
광주광역시,2015,-0.002496808692282,0.0197842706181046,0.0745952781918017,0.0324389270735727,0.0242992807808906
광주광역시,2016,-0.0020275791520032,0.031219819530099,-0.118437169756941,-0.0004881049287887,0.0394743028985369
광주광역시,2017,-0.0037053826059375,0.0125552611657624,-0.0269243081617501,0.0368967085049807,0.023468309669351
광주광역시,2018,-0.0030291644179072,0.0503361365693677,-0.0751403412988395,0.0287115373218032,0.03185920160898
광주광역시,2019,-0.001965277359018,0.0368419552849446,-0.0402782087473795,0.0203656728237464,0.0468083209499545
광주광역시,2020,-0.0043983115317329,-0.0023569030027029,-0.2767626903453225,0.0181608389360188,-0.0183458082396794
광주광역시,2021,-0.0058280266636875,0.0436748535477871,0.12089889110595,0.08861892627284,0.0334448819492452
광주광역시,2022,-0.0073258320032241,0.0165416228469754,0.1830235114444411,0.0032394530374031,0.0244874757915127
대전광역시,2009,0.0022182531509662,0.0262502425791426,-0.0653043316852567,-0.0084767633723843,0.0409170652510058
대전광역시,2010,0.0131277877346414,0.0701547541281206,-0.1444458486035638,0.1498571515908595,0.0542148428592099
대전광역시,2011,0.0079399387097116,0.0360485570444213,0.0614897657733699,0.0075754990683634,0.0415042481792431
대전광역시,2012,0.0059250344582322,0.0154087022741737,-0.0606313613231551,0.0762073231409845,0.0135121161228743
대전광역시,2013,0.0053968855746129,0.0113859252217851,-0.1113556524315402,0.0345377461411533,0.0115308951771706
대전광역시,2014,-0.0006537009455177,0.019962506784716,-0.0881834635168603,0.0607514880820798,0.0161350773944362
대전광역시,2015,-0.0085088937328348,0.0299588294881192,-0.0135548068635901,0.0911289022441868,0.0203425428020942
대전광역시,2016,-0.0029003637800201,0.034818406477004,-0.0190097961344982,0.0091178829471874,0.0319426371239921
대전광역시,2017,-0.0080185159505272,0.0082151920152393,0.0126578862139694,-0.0196762913181298,0.0159973631229488
대전광역시,2018,-0.0081818526760603,0.0093686025025221,-0.0590336078462727,-0.0335804845048494,0.020301184115997
대전광역시,2019,-0.0101118437302004,0.0395639237996563,-0.0039370078740157,0.0417704565904271,0.030936160143238
대전광역시,2020,-0.0074501481486504,0.0128835860463594,-0.0227201637899167,0.0133539130604203,0.0072268242668296
대전광역시,2021,-0.007945312532021,0.0313492087470157,0.1173766294227187,0.0498895227944866,0.0237914015482694
대전광역시,2022,-0.0042547741402828,0.0445961120792788,0.1173636789750534,0.0054301549954671,0.0546591424198725
울산광역시,2009,0.002210521868345,-0.0156607615823136,0.0900415641699889,-0.0030752788515958,0.0031916366227995
울산광역시,2010,0.0102541471351713,0.0451387637869835,-0.1368651581094676,0.0246738685525351,0.0443828899184675
울산광역시,2011,0.0081648018552815,0.0794357522956834,0.054886530486077,0.1462523165344538,0.0459307857714175
울산광역시,2012,0.0103584871430408,0.0061595680702779,-0.065229202659227,-0.0437602762255336,0.064698346866729
울산광역시,2013,0.0080400538327976,0.0050682967168005,0.0948851242799859,-0.0192520399449384,0.0714070991410651
울산광역시,2014,0.0085578652462645,0.0011969042844923,0.0931816690625166,-0.0184053209462521,0.0526650968935427
울산광역시,2015,0.0061360949332849,0.0061516963139829,-0.1200231348862079,0.010965721270459,0.0619156320981362
울산광역시,2016,-0.0010481162028539,0.0085548563025197,-0.0206664351794438,-0.0014517812974995,0.0068611949272063
울산광역시,2017,-0.0061178670379014,-0.0069232736128751,0.0043370076546602,-0.0368334251191115,-0.0025410446828306
울산광역시,2018,-0.0081613070450387,-0.0222638770714594,-0.0653604659959149,-0.0160655590673552,0.0090004881535348
울산광역시,2019,-0.0065800005711205,0.009534162391745,-0.081438014299204,0.0294999015440764,0.0124341083637913
울산광역시,2020,-0.0104545308048037,-0.0678679793829882,-0.050812858884173,-0.0848158932656858,-0.020247131952058
울산광역시,2021,-0.0126978733592895,0.0355521260549507,0.137112620487986,0.0420457025012592,0.0308445426108321
울산광역시,2022,-0.0097441850512486,-0.0045890097414567,0.0164773113817267,0.0258553554360829,0.0324267379120626
세종특별자치시,2009,,,,,
세종특별자치시,2010,,,,,
세종특별자치시,2011,,,,,
세종특별자치시,2012,,,,,
세종특별자치시,2013,0.0798818922001114,,,,
세종특별자치시,2014,0.2781102387988834,0.2545020161099935,0.1768878574353911,0.0631061942211468,0.419617123789906
세종특별자치시,2015,0.350738190552442,0.0725436357572333,-0.1452644070972548,-0.034680202548035,0.222172581435444
세종특별자치시,2016,0.1525198687430056,0.050570515085877,0.0900079860947995,0.0034954749249469,0.0717643315501719
세종특별자치시,2017,0.1524472532174714,0.0421648558916922,0.1174895966517739,-0.0195247968584436,0.0866284111229114
세종특별자치시,2018,0.1214780435558728,0.0279528023412638,-0.1795665104001508,-0.0048905303369046,0.097512563766235
세종특별자치시,2019,0.0841986973380108,0.0640305997634216,-0.1524198518735179,0.0691101784525469,0.1240575671135146
세종특별자치시,2020,0.0447948322689568,0.0502153990969287,-0.130296531834652,0.1320012211493022,0.0748056424522334
세종특별자치시,2021,0.0451450267121189,0.0739535031865179,0.0891364113028938,0.098252199066805,0.0989079771878127
