city,year,primary_industry_growth,population_growth
대전광역시,2020,0.0128835860463594,-0.0074501481486504
대전광역시,2021,0.0313492087470157,-0.007945312532021
대전광역시,2022,0.0445961120792788,-0.0042547741402828
울산광역시,2009,-0.0156607615823136,0.002210521868345
울산광역시,2010,0.0451387637869835,0.0102541471351713
울산광역시,2011,0.0794357522956834,0.0081648018552815
울산광역시,2012,0.0061595680702779,0.0103584871430408
울산광역시,2013,0.0050682967168005,0.0080400538327976
울산광역시,2014,0.0011969042844923,0.0085578652462645
울산광역시,2015,0.0061516963139829,0.0061360949332849
울산광역시,2016,0.0085548563025197,-0.0010481162028539
울산광역시,2017,-0.0069232736128751,-0.0061178670379014
울산광역시,2018,-0.0222638770714594,-0.0081613070450387
울산광역시,2019,0.009534162391745,-0.0065800005711205
울산광역시,2020,-0.0678679793829882,-0.0104545308048037
울산광역시,2021,0.0355521260549507,-0.0126978733592895
울산광역시,2022,-0.0045890097414567,-0.0097441850512486
세종특별자치시,2009,,
세종특별자치시,2010,,
세종특별자치시,2011,,
세종특별자치시,2012,,
세종특별자치시,2013,,0.0798818922001114
세종특별자치시,2014,0.2545020161099935,0.2781102387988834
세종특별자치시,2015,0.0725436357572333,0.350738190552442
세종특별자치시,2016,0.050570515085877,0.1525198687430056
세종특별자치시,2017,0.0421648558916922,0.1524472532174714
세종특별자치시,2018,0.0279528023412638,0.1214780435558728
세종특별자치시,2019,0.0640305997634216,0.0841986973380108
세종특별자치시,2020,0.0502153990969287,0.0447948322689568
세종특별자치시,2021,0.0739535031865179,0.0451450267121189
세종특별자치시,2022,0.0325385170659799,0.0314497371569932
경기도,2009,0.0209334105248797,0.0149080822056586
경기도,2010,0.0981624273223846,0.0284463043415663
경기도,2011,0.043336473303259,0.0127935722380847
경기도,2012,0.0448524654344035,0.0130584385312899
경기도,2013,0.0567691532033585,0.0116867200587698
경기도,2014,0.0454024603978608,0.0100697773451261
경기도,2015,0.0547238953477093,0.0133337325404216
경기도,2016,0.0467295019628679,0.0155058779298813
경기도,2017,0.0658906492387843,0.0123549357620404
경기도,2018,0.0604021908611052,0.015788384168117
경기도,2019,0.022954944533311,0.0124272462056533
경기도,2020,0.0167305366894199,0.014150508026411
경기도,2021,0.0602864772458742,0.0103102596005337
경기도,2022,0.0361176130490641,0.0017678735316557
강원도,2009,0.0089764547833648,0.002847057653746
강원도,2010,0.043430260271881,0.0112025487979801
강원도,2011,0.0238088596086956,0.0043338488630673
강원도,2012,0.0199568312706817,0.0014201587037114
강원도,2013,0.0321692465980802,0.0023611914495362
강원도,2014,0.0488339144604719,0.0014128588963102
강원도,2015,0.0197115189443022,0.0032795015934556
강원도,2016,0.028857454068264,0.0008383311595236
강원도,2017,0.0407643234240004,-0.0004281644512595
강원도,2018,0.018577392540936,-0.0045737745316235
강원도,2019,0.0334228886067036,-0.0010045027646508
강원도,2020,-0.0268104664589722,0.0008679846020309
강원도,2021,0.0435474598484342,-0.0028181794612532
강원도,2022,0.0298838654248636,-0.0012960743377281
충청북도,2009,0.055385450833759,0.005192858322689
충청북도,2010,0.0873606784678455,0.0144355597920231
충청북도,2011,0.0589254010696909,0.0086316607379794
충청북도,2012,0.0343092784167571,0.0017435503035057
충청북도,2013,0.0392941573356726,0.0045374763353747
충청북도,2014,0.04194387226421,0.0039428205186897
충청북도,2015,0.0696737207936499,0.0031787289264333
충청북도,2016,0.0577786854032749,0.0048442124508822
충청북도,2017,0.0611951590095964,0.0017636063771302
충청북도,2018,0.0625774748879148,0.0030230201099827
충청북도,2019,0.0166757076293926,0.0004720957047419
충청북도,2020,-0.0149650581525409,0.0005187477304786
충청북도,2021,0.0685940401777174,-0.0021301356727762
충청북도,2022,0.0451592058850274,-0.0014830098652395
충청남도,2009,0.0258392742617683,0.0094350512276961
충청남도,2010,0.1144340385760582,0.018616183299617
충청남도,2011,0.070163243235469,0.0124162014806934
충청남도,2012,0.0071429912764309,-0.034506044875419
충청남도,2013,-0.0183035568145186,0.0092932835890784
충청남도,2014,0.0287043698236009,0.0071507024458996
충청남도,2015,0.0109753947336392,0.0074558508984989
충청남도,2016,0.0316313868477311,0.0091824942519165
충청남도,2017,0.0541828687369612,0.0095591843859501
충청남도,2018,0.0064222193386858,0.0044936388932192
